履历类别;履历编码;姓名内编号;时间1朝代;时间1年;时间1公历年;时间2朝代;时间2年;时间2公历年;任职方式;任职地;任职职位;任职职位简写;履历特点;职位总序号;官职类别-编码1;来源;页码;衙门;官职类别;官职类别（124）-编码1;地区;地区-编码2;官职名称;官职内-编码3;品级;姓名;又名;任职朝代;任职年;任职西历年;任职月;任职季;任职日;任职西历时间;任职前职位;任职类别;离职朝代;离职年;离职西历年;离职月;离职季;离职日;离职西历时间;离职原因;离职原因简写;备注;出处-person ID;出处-人名权威资料;出处其他;生年;卒年;族;字;号;谥号;曾祖;祖父;父;兄1;兄2;兄3;兄4;兄5;兄6;兄7;兄8;兄9;兄10;兄11;子1;子2;子3;子4;子5;子6;子7;子8;子9;子10;子11;子12;子13;子14;子15;子16;孙1;孙2;孙3;孙4;孙5;孙6;孙7;孙8;孙9;孙10;孙11;孙12;孙13;孙14;孙15;孙16;民族;旗分;先赋;科举朝代;科年;科年公历;科举功名;世袭世职;其他出身;籍贯省;籍贯市;籍贯其他
1;4947;1;;;;雍正;11;1733;护;镶红旗;镶红旗护军参领;参领;;197;1;;0;奉天将军;将军;2;盛京;1;奉天将军;27;从一;额尔图;额勒图、额洛图;乾隆;三;1783;五;6;;;;;;;;;;;;;;;;7859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶红;;;;;;;;;;
1;8529;1;雍正;7;1729;雍正;7;1729;世职;;奉恩辅国公;公;;322;1;;0;吉林将军;将军;3;吉林;2;吉林将军;38;从一;恒禄;恒鲁、亨鲁;乾隆;二十五;1760;十二;12;;;;;;;;;;;;;;;;3139;;;;;;;恭悫;;;德普;;;;;;;;;;;;与兆;与郡;与瑞;;;;;;;;;;;;;;兴兆;兴郡;兴瑞;;;;;;;;;;;;;;满洲;镶蓝;宗室;;;;;奉恩辅国公;;;;
1;11833;1;乾隆;58;1793;乾隆;60;1795;;;蓝翎侍卫;蓝翎侍卫;;446;1;魏秀梅职官表;815;黑龙江将军;将军;4;黑龙江;3;黑龙江将军;52;从一;富僧德;;道光;十;1830;三;3;;;;;;;;;;;;;;;;1792;;;1846;瓜尔佳;;噶尔萨巴图鲁;武壮;;;;;;;;;;;;;;;定善;多龄;;;;;;;;;;;;;;;景霖;;;;;;;;;;;;;;;;满洲;镶蓝;;;;;;亲军;;;;
1;8436;1;雍正;13;1735;乾隆;;;;;御前行走;;;315;1;;0;吉林将军;将军;3;吉林;2;吉林将军;31;从一;永兴;;乾隆;十三;1748;七;7;;;;;;;;;;;;;;;;5095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正白;;;;;;;;;;
1;11368;1;乾隆;;;乾隆;;;;;黏竿处拜唐阿;;;430;1;魏秀梅职官表;832;黑龙江将军;将军;4;黑龙江;3;黑龙江将军;36;从一;那奇泰;;嘉庆;四;1799;二;2;;;;;;;;;;;;;;;;13792;;1743;1810;完颜;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正蓝;;;;;;挑补拜唐阿;;;;
1;12458;1;道光;29;1849;咸丰;2;1852;;;笔帖式;笔帖式;;472;1;魏秀梅职官表;958;黑龙江将军;将军;4;黑龙江;3;黑龙江将军;78;从一;文绪;;光绪;七;1881;;;;;;;;;;;;;;;;;;5590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;汉军;镶黄;;;;;;;;;;
1;8241;1;康熙;21;1682;雍正;1;1723;;;奉国将军;奉国将军;;304;1;;0;吉林将军;将军;3;吉林;2;吉林将军;20;从一;巴赛;;康熙;六十一;1720;十二;12;;;;;;;;;;;;;;;;13353;;1663;1731;;;;襄愍/襄敏;;济尔哈朗;巴尔堪;;;;;;;;;;;;奇通阿;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;宗室;;;;;奉恩辅国公;;;;
1;8232;0;;;;;;;;;;;;302;1;;0;吉林将军;将军;3;吉林;2;吉林将军;18;从一;蒙古洛;孟俄洛;康熙;四十八;1709;二;2;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;觉罗;;;;;;;;;
1;7894;1;;;;;;;;察哈尔;察哈尔佐领;佐领;;274;1;;0;盛京将军;将军;2;盛京;1;盛京将军;105;从一;定安;;光绪;;;;;;;;;;;;;;;;;;;;6441;;;;叶赫那拉;静村;;;;;;;;;;;;;;;;;阿杨阿;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;正黄;;;;;;;;;;
1;4746;0;;;;;;;;;;;;186;1;;0;奉天将军;将军;2;盛京;1;奉天将军;16;从一;唐保柱;瑭保柱;康熙;五十;1711;十二;12;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;;;;;;;;;;
1;11114;1;乾隆;15;1750;乾隆;15;1750;世职;;奉恩辅国公;公;;422;1;;0;黑龙江将军;将军;4;黑龙江;3;黑龙江将军;28;从一;永玮;;乾隆;四十四;1779;十一;11;;;;;;;;;;;;;;;;507;;;1787;;;;恪勤;;允礽;弘曣;;;;;;;;;;;;弘曣;绵侃;绵佐;;;;;;;;;;;;;;奕赞;奕泽;;;;;;;;;;;;;;;满洲;镶蓝;宗室;;;;;奉恩辅国公;;;;
1;9830;1;嘉庆;22;1817;道光;7;1827;;;三等侍卫;三等侍卫;;358;1;魏秀梅职官表;845;吉林将军;将军;3;吉林;2;吉林将军;74;从一;禄普;;道光;二十;1840;;;;;;;;;;;;;;;;;;1454;;1785;1853;爱新觉罗;;;恪慎;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;宗室;;;;;侍卫;三等侍卫;;;
1;11905;1;嘉庆;1;1796;嘉庆;1;1796;;;五品廕生(授);;;448;1;魏秀梅职官表;972;黑龙江将军;将军;4;黑龙江;3;黑龙江将军;54;从一;玉英;;道光;十;1830;;;;;;;;;;;;;;;;;;0;;1790;1831;爱新觉罗;;;;齐克塔;玛麟;林成;玉庆;玉衡;玉福;玉昌;玉增;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶蓝;宗室;;;;;;;;;
1;10896;1;乾隆;8;1743;乾隆;14;1749;;黑龙江;黑龙江将军;将军;;410;1;;0;黑龙江将军;将军;4;黑龙江;3;黑龙江将军;16;从一;傅森;富森;乾隆;八;1743;一;1;;;;;;;;;;;;;;;;2469;;;;爱新觉罗;;;;;硕托;岳塞布;;;;;;;;;;;;德克甲;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;满洲;镶黄;觉罗;;;;;;;;;
